Name,Games Played,Team,League,Position,Season,Age,Goals,Assists,Points,+/-,PIM,EV Goals,PP Goals,SH Goals,GW Goals,Shots,S%,TOI,Goals Per Game,Assists Per Game,Points Per Game,Shots Per Game,OPS,DPS,Point Shares
Hudson Fasching,10,BUF,NHL,RW,2016-17,21,0,1,1,-1,2,0,0,0,0,6,0,104,0,0.1,0.1,0.6,-0.2,0.1,-0.1
Petter Granberg,10,NSH,NHL,D,2016-17,24,0,0,0,0,10,0,0,0,0,4,0,96,0,0,0,0.4,-0.1,0.2,0.1
Markus Hannikainen,10,CBJ,NHL,LW,2016-17,23,1,1,2,0,6,1,0,0,0,8,12.5,91,0.1,0.1,0.2,0.8,0.1,0.1,0.2
Jujhar Khaira,10,EDM,NHL,LW,2016-17,22,1,0,1,1,2,1,0,0,1,10,10,93,0.1,0,0.1,1,0,0.1,0.1
Taylor Leier,10,PHI,NHL,LW,2016-17,22,1,1,2,-1,4,1,0,0,0,7,14.3,91,0.1,0.1,0.2,0.7,0.1,0.1,0.1
Nelson Nogier,10,WPG,NHL,D,2016-17,20,0,0,0,-1,5,0,0,0,0,8,0,117,0,0,0,0.8,-0.1,0.1,-0.1
Matthew Peca,10,TBL,NHL,C,2016-17,23,1,1,2,-3,2,1,0,0,0,9,11.1,114,0.1,0.1,0.2,0.9,0,0,0
Blake Pietila,10,NJD,NHL,LW,2016-17,23,0,1,1,-5,4,0,0,0,0,9,0,130,0,0.1,0.1,0.9,-0.3,0,-0.3
Oskar Sundqvist,10,PIT,NHL,C,2016-17,22,0,0,0,-4,2,0,0,0,0,9,0,92,0,0,0,0.9,-0.3,-0.1,-0.4
Jake Virtanen,10,VAN,NHL,RW,2016-17,20,0,1,1,1,2,0,0,0,0,13,0,101,0,0.1,0.1,1.3,-0.2,0.2,0
Cody Bass,9,NSH,NHL,C,2016-17,30,0,0,0,-1,19,0,0,0,0,1,0,61,0,0,0,0.11,-0.2,0,-0.1
Brock Boeser,9,VAN,NHL,RW,2016-17,19,4,1,5,0,0,2,2,0,1,25,16,146,0.44,0.11,0.56,2.78,0.6,0.2,0.8
Zac Dalpe,9,MIN,NHL,C,2016-17,27,1,2,3,0,9,1,0,0,0,8,12.5,77,0.11,0.22,0.33,0.89,0.2,0.1,0.3
Jacob de La Rose,9,MTL,NHL,LW,2016-17,21,0,0,0,-3,4,0,0,0,0,4,0,98,0,0,0,0.44,-0.3,0,-0.3
Justin Dowling,9,DAL,NHL,C,2016-17,26,0,2,2,0,2,0,0,0,0,11,0,94,0,0.22,0.22,1.22,0,0.1,0
Frederick Gaudreau,9,NSH,NHL,C,2016-17,23,0,1,1,1,0,0,0,0,0,8,0,78,0,0.11,0.11,0.89,-0.1,0.1,0
Seth Helgeson,9,NJD,NHL,D,2016-17,26,1,0,1,2,15,1,0,0,0,3,33.3,121,0.11,0,0.11,0.33,0.1,0.5,0.6
Ty Rattie,9,TOT,NHL,RW,2016-17,23,0,2,2,-2,0,0,0,0,0,10,0,97,0,0.22,0.22,1.11,-0.1,0,0
Jordan Schmaltz,9,STL,NHL,D,2016-17,23,0,2,2,0,4,0,0,0,0,5,0,129,0,0.22,0.22,0.56,0.1,0.3,0.4
Danton Heinen,8,BOS,NHL,C,2016-17,21,0,0,0,-3,2,0,0,0,0,7,0,106,0,0,0,0.88,-0.3,0,-0.3
Kasperi Kapanen,8,TOR,NHL,RW,2016-17,20,1,0,1,-2,0,1,0,0,0,11,9.1,86,0.13,0,0.13,1.38,0,0,0
Sean Kuraly,8,BOS,NHL,C,2016-17,24,0,1,1,-1,2,0,0,0,0,11,0,74,0,0.13,0.13,1.38,-0.1,0.1,0
Lucas Wallmark,8,CAR,NHL,C,2016-17,21,0,2,2,1,2,0,0,0,0,11,0,87,0,0.25,0.25,1.38,0,0.2,0.1
Kenny Agostino,7,STL,NHL,LW,2016-17,24,1,2,3,0,2,1,0,0,0,17,5.9,89,0.14,0.29,0.43,2.43,0.2,0.1,0.3
Casey Bailey,7,OTT,NHL,RW,2016-17,25,0,0,0,-1,0,0,0,0,0,10,0,56,0,0,0,1.43,-0.2,0,-0.1
Tyler Bertuzzi,7,DET,NHL,LW,2016-17,21,0,0,0,-1,0,0,0,0,0,3,0,64,0,0,0,0.43,-0.2,0,-0.1
Christian Fischer,7,ARI,NHL,RW,2016-17,19,3,0,3,0,0,3,0,0,1,10,30,86,0.43,0,0.43,1.43,0.4,0.1,0.5
Joel Hanley,7,MTL,NHL,D,2016-17,25,0,0,0,-3,4,0,0,0,0,5,0,71,0,0,0,0.71,-0.1,-0.1,-0.2
Nicklas Jensen,7,NYR,NHL,RW,2016-17,23,0,0,0,-2,0,0,0,0,0,8,0,65,0,0,0,1.14,-0.2,0,-0.2
Ryan Johnston,7,MTL,NHL,D,2016-17,24,0,0,0,-3,4,0,0,0,0,3,0,69,0,0,0,0.43,-0.1,-0.1,-0.2
