Name,Games Played,Team,League,Position,Season,Age,Goals,Assists,Points,+/-,PIM,EV Goals,PP Goals,SH Goals,GW Goals,Shots,S%,TOI,Goals Per Game,Assists Per Game,Points Per Game,Shots Per Game,OPS,DPS,Point Shares
Daniel O'Regan,3,SJS,NHL,C,2016-17,23,1,0,1,-2,0,0,1,0,0,5,20,35,0.33,0,0.33,1.67,0.1,0,0.1
Tanner Richard,3,TBL,NHL,C,2016-17,23,0,0,0,-2,2,0,0,0,0,1,0,38,0,0,0,0.33,-0.1,0,-0.1
Anton Rodin,3,VAN,NHL,RW,2016-17,26,0,1,1,1,0,0,0,0,0,2,0,27,0,0.33,0.33,0.67,0,0.1,0.1
Nikita Scherbak,3,MTL,NHL,RW,2016-17,21,1,0,1,1,0,0,1,0,0,3,33.3,34,0.33,0,0.33,1,0.1,0.1,0.2
Duncan Siemens,3,COL,NHL,D,2016-17,23,0,0,0,-2,2,0,0,0,0,2,0,37,0,0,0,0.67,0,-0.1,-0.1
Dillon Simpson,3,EDM,NHL,D,2016-17,,0,0,0,0,2,0,0,0,0,2,0,33,0,0,0,0.67,0,0.1,0
Blake Speers,3,NJD,NHL,C,2016-17,20,0,0,0,0,0,0,0,0,0,3,0,28,0,0,0,1,-0.1,0,0
Ben Thomson,3,NJD,NHL,LW,2016-17,24,0,0,0,-4,4,0,0,0,0,7,0,33,0,0,0,2.33,-0.1,-0.1,-0.2
T.J. Tynan,3,CBJ,NHL,RW,2016-17,24,0,0,0,-1,0,0,0,0,0,3,0,22,0,0,0,1,-0.1,0,-0.1
MacKenzie Weegar,3,FLA,NHL,D,2016-17,23,0,0,0,0,4,0,0,0,0,3,0,52,0,0,0,1,-0.1,0.1,0.1
Mathew Barzal,2,NYI,NHL,C,2016-17,19,0,0,0,-2,6,0,0,0,0,0,,20,0,0,0,0,-0.1,-0.1,-0.1
Mike Blunden,2,OTT,NHL,RW,2016-17,30,0,0,0,0,4,0,0,0,0,1,0,16,0,0,0,0.5,0,0,0
Erik Burgdoerfer,2,BUF,NHL,D,2016-17,28,0,0,0,-1,0,0,0,0,0,2,0,22,0,0,0,1,0,0,-0.1
Gabriel Carlsson,2,CBJ,NHL,D,2016-17,20,0,1,1,-2,0,0,0,0,0,3,0,34,0,0.5,0.5,1.5,0.1,-0.1,0
Alexandre Carrier,2,NSH,NHL,D,2016-17,20,0,0,0,1,0,0,0,0,0,1,0,21,0,0,0,0.5,0,0.1,0.1
Martin Frk,2,CAR,NHL,RW,2016-17,23,0,0,0,-3,0,0,0,0,0,1,0,17,0,0,0,0.5,0,-0.1,-0.2
Matthew Grzelcyk,2,BOS,NHL,D,2016-17,23,0,0,0,0,2,0,0,0,0,4,0,25,0,0,0,2,0,0.1,0
Vladislav Kamenev,2,NSH,NHL,LW,2016-17,20,0,0,0,-1,2,0,0,0,0,1,0,20,0,0,0,0.5,-0.1,0,-0.1
Bracken Kearns,2,NYI,NHL,C,2016-17,35,0,0,0,-1,2,0,0,0,0,3,0,22,0,0,0,1.5,-0.1,0,-0.1
Scott Laughton,2,PHI,NHL,C,2016-17,22,0,0,0,0,0,0,0,0,0,4,0,20,0,0,0,2,-0.1,0,0
Brett Lernout,2,MTL,NHL,D,2016-17,21,0,0,0,-1,0,0,0,0,0,3,0,38,0,0,0,1.5,0,0,0
Matthew Lorito,2,DET,NHL,LW,2016-17,26,0,1,1,0,0,0,0,0,0,6,0,29,0,0.5,0.5,3,0,0,0.1
Aaron Ness,2,WSH,NHL,D,2016-17,26,0,0,0,-1,0,0,0,0,0,0,,26,0,0,0,0,0,0,-0.1
Jordan Oesterle,2,EDM,NHL,D,2016-17,24,0,0,0,-1,0,0,0,0,0,2,0,35,0,0,0,1,0,0,-0.1
Kevin Porter,2,PIT,NHL,C,2016-17,30,0,0,0,-1,0,0,0,0,0,0,,23,0,0,0,0,-0.1,0,-0.1
Andrew Poturalski,2,CAR,NHL,C,2016-17,23,0,0,0,-3,0,0,0,0,0,1,0,25,0,0,0,0.5,-0.1,-0.1,-0.2
Dominik Simon,2,PIT,NHL,C,2016-17,22,0,1,1,-1,0,0,0,0,0,2,0,26,0,0.5,0.5,1,0,0,0
C.J. Smith,2,BUF,NHL,LW,2016-17,22,0,1,1,-1,0,0,0,0,0,2,0,23,0,0.5,0.5,1,0,0,0
Evgeny Svechnikov,2,DET,NHL,RW,2016-17,20,0,0,0,0,0,0,0,0,0,4,0,26,0,0,0,2,-0.1,0,0
Sergey Tolchinsky,2,CAR,NHL,LW,2016-17,21,0,1,1,0,0,0,0,0,0,2,0,23,0,0.5,0.5,1,0,0,0.1
Mike Vecchione,2,PHI,NHL,RW,2016-17,23,0,0,0,-1,0,0,0,0,0,1,0,17,0,0,0,0.5,0,0,-0.1
Colin White,2,OTT,NHL,C,2016-17,20,0,0,0,0,0,0,0,0,0,1,0,27,0,0,0,0.5,-0.1,0,0
Valentin Zykov,2,CAR,NHL,LW,2016-17,21,1,0,1,1,0,1,0,0,0,3,33.3,13,0.5,0,0.5,1.5,0.2,0.1,0.2
Spencer Abbott,1,CHI,NHL,LW,2016-17,28,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,1,0,0,0
Rasmus Andersson,1,CGY,NHL,D,2016-17,20,0,0,0,-1,0,0,0,0,0,0,,19,0,0,0,0,0,0,-0.1
Chris Butler,1,STL,NHL,D,2016-17,30,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,1,0,0,0
Thomas Chabot,1,OTT,NHL,D,2016-17,20,0,0,0,-2,0,0,0,0,0,1,0,7,0,0,0,1,0,-0.2,-0.2
Jean-Sebastien Dea,1,PIT,NHL,C,2016-17,22,0,0,0,0,2,0,0,0,0,1,0,11,0,0,0,1,0,0,0
Simon Despres,1,ANA,NHL,D,2016-17,25,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,1,0,0,0
Jakob Forsbacka Karlsson,1,BOS,NHL,C,2016-17,20,0,0,0,0,0,0,0,0,0,0,,8,0,0,0,0,0,0,0
Denis Gurianov,1,DAL,NHL,RW,2016-17,19,0,0,0,-1,0,0,0,0,0,0,,13,0,0,0,0,0,0,-0.1
Robert Hagg,1,PHI,NHL,D,2016-17,21,0,0,0,0,0,0,0,0,0,5,0,21,0,0,0,5,0,0.1,0
Tim Heed,1,SJS,NHL,D,2016-17,26,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,1,0,0,0
Samuel Henley,1,COL,NHL,C,2016-17,23,1,0,1,1,2,1,0,0,0,1,100,5,1,0,1,1,0.2,0,0.3
Mark Jankowski,1,CGY,NHL,C,2016-17,22,0,0,0,0,0,0,0,0,0,0,,10,0,0,0,0,0,0,0
Nicolas Kerdiles,1,ANA,NHL,LW,2016-17,23,0,0,0,1,0,0,0,0,0,0,,11,0,0,0,0,0,0.1,0
Kalle Kossila,1,ANA,NHL,LW,2016-17,23,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0
Mike Liambas,1,NSH,NHL,LW,2016-17,27,0,0,0,-1,0,0,0,0,0,0,,5,0,0,0,0,0,0,-0.1
Sean Malone,1,BUF,NHL,C,2016-17,21,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,1,0,0,0
Evan McEneny,1,VAN,NHL,D,2016-17,22,0,0,0,-1,0,0,0,0,0,1,0,15,0,0,0,1,0,0,-0.1
Mark McNeill,1,DAL,NHL,RW,2016-17,23,0,0,0,-1,0,0,0,0,0,1,0,14,0,0,0,1,0,0,-0.1
Jaycob Megna,1,ANA,NHL,D,2016-17,24,0,0,0,1,0,0,0,0,0,0,,15,0,0,0,0,0,0.1,0.1
Garrett Mitchell,1,WSH,NHL,RW,2016-17,25,0,0,0,0,0,0,0,0,0,0,,9,0,0,0,0,0,0,0
Samuel Morin,1,PHI,NHL,D,2016-17,21,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,2,0,0,0
Cristoval Nieves,1,NYR,NHL,C,2016-17,23,0,0,0,-1,0,0,0,0,0,0,,12,0,0,0,0,0,0,-0.1
Liam O'Brien,1,WSH,NHL,LW,2016-17,22,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0,0,0,0
Nick Paul,1,OTT,NHL,LW,2016-17,21,0,0,0,-2,0,0,0,0,0,4,0,16,0,0,0,4,0,-0.1,-0.1
Ryan Pulock,1,NYI,NHL,D,2016-17,22,0,0,0,1,0,0,0,0,0,0,,4,0,0,0,0,0,0.1,0.1
Borna Rendulic,1,VAN,NHL,RW,2016-17,24,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0
Dan Renouf,1,DET,NHL,D,2016-17,22,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,1,0,0,0
Jack Roslovic,1,WPG,NHL,C,2016-17,20,0,0,0,-1,0,0,0,0,0,1,0,8,0,0,0,1,0,0,-0.1
Trevor Smith,1,NSH,NHL,C,2016-17,31,0,0,0,0,0,0,0,0,0,0,,7,0,0,0,0,0,0,0
Vladimir Sobotka,1,STL,NHL,LW,2016-17,29,1,0,1,0,0,1,0,0,0,2,50,17,1,0,1,2,0.2,0,0.2
Corey Tropp,1,ANA,NHL,RW,2016-17,27,0,0,0,-1,0,0,0,0,0,0,,9,0,0,0,0,0,0,-0.1
Michael Zalewski,1,VAN,NHL,LW,2016-17,24,0,0,0,-1,0,0,0,0,0,0,,8,0,0,0,0,0,0,-0.1
